allbigrams,bigrams,categ,item,letters,openbigrams,quadrigrams,trigrams
-4.321504899820113,-4.329499584711,BFL,laghwc,-2.106823254361203,-3.9710942097690793,,-5.255064358793433
-3.9209541070237006,-4.188025739284499,BFL,ffibzx,-1.991014234382087,-3.628026540447668,,-5.177502612984173
-3.9945635543493645,-3.858338665839733,BFL,apagjw,-2.049216724135201,-3.8674104789745893,-5.808084390742475,-4.821317112341451
-3.85262565826999,-4.251953349147446,BFL,khbezz,-2.196695025730246,-4.426623793520724,,-5.808874955408047
-4.806421852585672,-4.713795496411004,BFL,foxwld,-2.157174319758865,-5.0301720150254425,,-5.9538022637070025
-3.8348552027161356,-3.9351847466140306,BFL,ggumpk,-2.006639546521655,-3.926153021059669,,-5.596356953099309
-4.067040671286439,-5.574836937119012,BFL,iyhlvz,-1.8573363075692892,-3.6245866559120055,,
-4.226974307245965,-4.896542229243981,BFL,kpgboj,-2.078351607577118,-4.224940103493578,,
-3.9949396072672005,-4.300613925278592,BFL,wwistf,-2.389459901780763,-4.064185333648473,,-5.2532027029262505
-4.465065251123628,-4.2672920847421905,BFL,bbkhal,-2.0259315593371636,-4.671427057557947,-5.997829188577115,-5.438107854778005
-3.9698411999800904,-4.910430729376663,BFL,wcmduz,-2.100191278833196,-3.871945713525339,,
-4.136450297934567,-4.9498701318307585,BFL,kvylih,-2.052877003753225,-4.129798679469595,,-5.850189670829916
-3.966821967235779,-4.55476141603279,BFL,wrabgz,-2.2197943671607407,-3.9766361687892173,,-5.484615237467737
-4.229210844302662,-4.0610066988843965,BFL,jokynh,-2.0988027376155123,-4.667764803990534,,-5.886646384687731
-4.2733617316351875,-4.42071724750906,BFL,wpcazz,-2.2170366502116443,-4.522516709833978,,-5.754141614156877
-4.324686296097789,-4.46826891201523,BFL,kjnjug,-2.0057680593743314,-4.1645056829784455,-5.7547503908667155,-5.1681984212810175
-4.020264802460801,-4.667702319826172,BFL,wohboz,-2.24212146765103,-4.2734343914205155,,-5.98616848421317
-4.151324457380602,-4.47283875352914,BFL,ydjick,-2.045714170508472,-4.363553710002324,,-5.60420795411468
-4.447884299891645,-4.78198541696357,BFL,alvwhz,-2.1669174378183986,-4.960660125708695,,-5.777107722071889
-3.912949673529538,-4.209892406338655,BFL,gmobky,-2.17385485320422,-4.080166269842553,,-5.638253116716662
-4.0899819264652315,-4.308608599618293,BFL,jhalpw,-2.085034482387583,-4.362088726734259,-5.998910525294235,-5.224915682785792
-4.427197624899533,-4.53339928358808,BFL,vizkmy,-2.1294972787324813,-4.386832337216484,,-5.991846041106802
-4.012085311515914,-4.038125589016626,BFL,wbblak,-2.422499304479218,-4.343909575070404,-5.979630956900233,-5.270258951127381
