ortho	freqf
abuse	4.08
abusent	1.02
abuser	5.87
abusera	0.04
abuserai	0.03
abuserais	0.09
abuserait	0.02
abuserez	0.01
abuseriez	0.02
abuses	0.5
abuseur	0.04
abusez	1.93
abusiez	0.02
abusif	0.37
abusifs	0.05
abusive	0.39
abusivement	0.16
abusives	0.03
abusons	0.37
abusèrent	0.0
abusé	4.59
abusé	0.1
abusée	0.29
abusée	0.03
abusées	0.03
abusées	0.03
abusés	0.22
abusés	0.04
abyme	0.04
abyssal	0.03
abyssale	0.05
abyssales	0.02
abysse	0.53
abysses	0.54
abyssin	0.0
abyssin	0.14
abyssinien	0.1
abyssinienne	0.01
abyssins	0.0
abâtardi	0.0
abâtardie	0.01
abâtardies	0.0
abâtardir	0.0
abâtardirai	0.0
abâtardissant	0.14
abécédaire	0.18
abêti	0.0
abêti	0.0
abêties	0.0
abêtir	0.01
abêtis	0.0
abêtis	0.0
abêtissait	0.0
abêtissement	0.0
abêtit	0.0
abîma	0.1
abîmai	0.0
abîmaient	0.1
abîmait	0.01
abîmant	0.01
abîme	5.03
abîme	2.21
abîment	0.31
abîmer	5.4
abîmera	0.04
abîmerai	0.01
abîmerais	0.02
abîmerait	0.08
abîmeras	0.0
abîmerez	0.01
abîmeront	0.02
abîmes	0.98
abîmes	0.72
abîmez	0.3
abîmions	0.0
abîmons	0.0
abîmé	3.57
abîmée	1.73
abîmées	0.56
abîmés	0.61
acabit	0.17
acabits	0.0
acacia	0.05
acacias	0.21
acadien	0.01
acadien	0.14
acadienne	0.03
acadiens	0.01
académicien	0.14
académiciens	0.21
académie	9.91
académies	0.12
académique	0.87
académiquement	0.01
académiques	0.54
académisme	0.0
académisé	0.0
acagnardai	0.0
acagnardait	0.0
acagnarder	0.0
acagnardé	0.0
acagnardée	0.0
acajou	0.17
acajou	0.52
acajous	0.0
acanthe	0.04
acanthes	0.0
acariens	0.07
acariâtre	0.13
acariâtres	0.01
accabla	0.14
accablai	0.0
accablaient	0.03
accablais	0.0
accablait	0.22
accablant	0.37
accablant	0.05
accablante	0.71
accablantes	0.29
accablants	0.04
accable	2.01
accablement	0.21
accablements	0.01
accablent	0.28
accabler	0.65
accableraient	0.0
accablez	0.17
accablions	0.0
accablât	0.0
accablèrent	0.0
accablé	0.92
accablé	0.39
accablée	0.6
accablée	0.03
accablées	0.02
accablées	0.0
accablés	0.47
accablés	0.11
accalmie	0.46
accalmies	0.04
accalmit	0.0
accapara	0.01
accaparaient	0.0
accaparait	0.01
accaparant	0.02
accaparant	0.03
accaparante	0.0
accapare	0.34
accaparer	0.2
accaparerait	0.0
accapareur	0.02
accaparez	0.02
accaparé	0.3
accaparée	0.06
accaparées	0.0
accaparés	0.0
accastillage	0.04
accastillages	0.0
accelerando	0.0
accent	12.98
accenteur	0.01
accents	1.58
accentua	0.0
accentuai	0.0
accentuaient	0.0
accentuais	0.0
accentuait	0.01
accentuant	0.03
accentuation	0.06
accentue	0.11
accentuent	0.07
accentuer	0.67
accentuerait	0.01
accentuez	0.12
accentuât	0.0
accentuèrent	0.0
accentué	0.21
accentué	0.01
accentuée	0.03
accentuée	0.01
accentuées	0.02
accentuées	0.0
accentués	0.01
accentués	0.0
accepta	0.82
acceptable	3.27
acceptables	0.7
acceptai	0.03
acceptaient	0.34
acceptais	0.94
acceptait	1.48
acceptant	0.04
acceptant	1.35
acceptassent	0.0
acceptasses	0.0
acceptation	1.24
acceptations	0.0
accepte	38.41
acceptent	4.45
accepter	43.39
acceptera	3.98
accepterai	2.73
accepteraient	0.57
accepterais	2.25
accepterait	1.54
accepteras	0.65
accepterez	0.94
accepteriez	2.01
accepterions	0.03
accepterons	0.31
accepteront	1.34
acceptes	6.79
acceptez	12.53
acceptiez	1.0
acception	0.15
acceptions	0.0
acceptions	0.21
acceptons	2.72
acceptâmes	0.0
acceptât	0.01
acceptèrent	0.04
accepté	28.46
acceptée	4.3
acceptées	0.93
acceptés	1.29
accesseurs	0.0
accessibilité	0.03
accessible	1.49
accessibles	0.57
accession	0.16
accessit	0.02
accessoire	0.12
accessoire	1.11
accessoirement	0.17
accessoires	0.62
accessoires	2.76
accessoirise	0.01
accessoiriser	0.07
accessoiriste	0.51
accessoiristes	0.11
accident	100.11
accidente	0.01
accidentel	1.09
accidentelle	1.44
accidentellement	3.39
accidentelles	0.17
accidentels	0.08
accidenter	0.02
accidents	8.1
accidenté	0.12
accidenté	0.16
accidenté	0.28
accidentée	0.04
accidentée	0.08
accidentée	0.01
accidentées	0.02
accidentés	0.04
accidentés	0.28
acclama	0.0
acclamaient	0.09
acclamait	0.04
acclamant	0.0
acclamation	0.2
acclamations	2.65
acclame	0.19
acclament	0.18
acclamer	0.2
acclamera	0.04
acclamerait	0.01
acclameront	0.03
acclamez	0.25
acclamiez	0.01
acclamons	0.05
acclamé	0.44
acclamée	0.17
acclamées	0.02
acclamés	0.04
acclimata	0.0
acclimatai	0.0
acclimatation	0.14
acclimate	0.01
acclimatement	0.0
acclimatent	0.01
acclimater	0.45
acclimaterait	0.0
acclimates	0.0
acclimatez	0.02
acclimaté	0.02
acclimatés	0.01
accointance	0.14
accointances	0.0
accointé	0.0
accointés	0.0
accola	0.0
accolade	0.84
accolades	0.12
accolait	0.0
accolant	0.14
accole	0.0
accolement	0.0
accolent	0.0
accoler	0.0
accolerais	0.01
accolé	0.03
accolée	0.14
accolée	0.0
accolées	0.0
accolées	0.0
accolés	0.0
accolés	0.0
accommoda	0.0
accommodai	0.0
accommodaient	0.0
accommodais	0.01
accommodait	0.01
accommodant	0.22
accommodant	0.0
accommodante	0.14
accommodantes	0.0
accommodants	0.04
accommodation	0.04
accommodatrices	0.0
accommode	0.78
accommodement	0.11
accommodements	0.0
accommodent	0.13
accommoder	0.69
accommodera	0.01
accommoderai	0.06
accommoderaient	0.0
accommoderais	0.16
accommoderait	0.11
accommoderez	0.02
accommoderions	0.0
accommoderont	0.01
accommodions	0.0
accommodons	0.0
accommodât	0.0
accommodèrent	0.1
accommodé	0.13
accommodée	0.03
accommodés	0.0
accompagna	0.15
accompagnai	0.03
accompagnaient	0.43
accompagnais	0.4
accompagnait	2.04
accompagnant	0.01
accompagnant	0.61
accompagnateur	0.4
accompagnateurs	0.29
accompagnatrice	0.09
accompagnatrices	0.02
accompagne	33.28
accompagnement	0.61
accompagnements	0.03
accompagnent	2.08
accompagner	24.87
accompagnera	1.81
accompagnerai	1.01
accompagneraient	0.0
accompagnerais	0.16
accompagnerait	0.09
accompagneras	0.52
accompagnerez	0.65
accompagneriez	0.12
accompagnerons	0.25
accompagneront	0.52
accompagnes	5.48
accompagnez	4.41
accompagniez	0.45
accompagnions	0.02
accompagnons	0.73
accompagnâmes	0.0
accompagnât	0.0
accompagnèrent	0.0
accompagné	5.67
accompagné	0.93
accompagnée	3.67
accompagnée	0.38
accompagnées	0.1
accompagnées	0.02
accompagnés	1.0
accompagnés	0.25
accompli	1.41
accompli	0.02
accompli	5.98
accomplie	3.0
accomplie	1.05
accomplies	0.05
accomplies	0.23
accomplir	9.31
accomplira	0.55
accomplirai	0.33
accompliraient	0.01
accomplirais	0.0
accomplirait	0.12
accompliras	0.05
accomplirent	0.01
accomplirez	0.09
accomplirons	0.17
accompliront	0.04
accomplis	0.33
accomplis	1.51
accomplissaient	0.0
accomplissais	0.02
accomplissait	0.05
accomplissant	0.17
accomplisse	1.04
accomplissement	1.27
accomplissements	0.22
accomplissent	1.12
accomplissez	0.54
accomplissiez	0.02
accomplissions	0.16
accomplissons	0.28
accomplit	2.14
accomplît	0.0
accord	761.77
accorda	0.38
accordai	0.0
accordaient	0.17
accordailles	0.0
accordais	0.44
accordait	0.7
accordant	0.24
accordas	0.01
accordassent	0.0
accorde	17.04
accordement	0.0
accordent	1.31
accorder	10.59
accordera	0.98
accorderai	0.46
accorderaient	0.0
accorderais	0.24
accorderait	0.08
accorderas	0.06
accorderez	0.52
accorderiez	0.14
accorderons	0.14
accorderont	0.14
accordes	1.23
accordeur	0.25
accordez	6.0
accordiez	0.3
accordions	0.05
accordo	0.01
accordons	0.75
accords	4.42
accordât	0.0
accordèrent	0.01
accordé	6.87
accordé	1.22
accordée	2.23
accordée	1.06
accordées	0.36
accordées	0.16
accordéon	3.02
accordéoniste	0.26
accordéonistes	0.0
accordéons	0.22
accordés	0.85
accordés	0.15
accore	0.0
accores	0.0
accort	0.01
accorte	0.02
accortes	0.0
accorts	0.0
accosta	0.11
accostage	0.47
accostaient	0.0
accostais	0.0
accostait	0.11
accostant	0.0
accostant	0.01
accoste	0.27
accostent	0.13
accoster	0.67
accosterez	0.03
accosterons	0.01
accostez	0.14
accostiez	0.01
accostons	0.01
accosté	0.23
accostée	0.15
accostées	0.0
